MAIN_ROAD,CITY_DISTRICT,ADDRESS,BUILD_1ST_NUM,BUILD_2ND_NUM,COMPLEX_NAME,AREA,CONTRACT_YEAR_MONTH,CONTRACT_DAY,AMOUNT,FLOOR,CONSTRUCTION_YEAR,ROAD_NAME,TERMINATION_DATE,TRANSACTION_TYPE,BROKER_LOCATION,ROAD_NUM
강서로47바길,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6
강서로48길,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9
강서로50길,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9
강서로52길,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
강서로56길,13,13,13,13,13,13,13,13,13,13,13,13,0,13,13,13
강서로56나길,365,365,365,365,365,365,365,365,365,365,365,365,9,365,365,365
강서로5가길,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9
강서로5나길,74,74,74,74,74,74,74,74,74,74,74,74,0,74,74,74
강서로5라길,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6
강서로68길,252,252,252,252,252,252,252,252,252,252,252,252,3,252,252,252
강서로7길,185,185,185,185,185,185,185,185,185,185,185,185,4,185,185,185
강서로8길,30,30,30,30,30,30,30,30,30,30,30,30,1,30,30,30
개봉로11길,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
개봉로15길,75,75,75,75,75,75,75,75,75,75,75,75,0,75,75,75
개봉로17나길,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9
개봉로17마길,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11
개봉로17바길,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
개봉로17아길,14,14,14,14,14,14,14,14,14,14,14,14,1,14,14,14
개봉로19길,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,7
개봉로1길,141,141,141,141,141,141,141,141,141,141,141,141,2,141,141,141
개봉로20길,710,710,710,710,710,710,710,710,710,710,710,710,13,710,710,710
개봉로23가길,55,55,55,55,55,55,55,55,55,55,55,55,1,55,55,55
개봉로2길,172,172,172,172,172,172,172,172,172,172,172,172,5,172,172,172
개봉로3가길,40,40,40,40,40,40,40,40,40,40,40,40,0,40,40,40
개봉로3길,349,349,349,349,349,349,349,349,349,349,349,349,6,349,349,349
개포로,663,663,663,663,663,663,663,663,663,663,663,663,16,663,663,663
개포로109길,512,512,512,512,512,512,512,512,512,512,512,512,14,512,512,512
개포로110길,194,194,194,194,194,194,194,194,194,194,194,194,6,194,194,194
개포로124길,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12
개포로15길,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
개포로28길,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
개포로31길,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6
개화동로25길,21,21,21,21,21,21,21,21,21,21,21,21,0,21,21,21
개화동로27가길,72,72,72,72,72,72,72,72,72,72,72,72,2,72,72,72
개화동로27길,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11
거마로,70,70,70,70,70,70,70,70,70,70,70,70,1,70,70,70
거마로15길,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9
거마로8길,10,10,10,10,10,10,10,10,10,10,10,10,2,10,10,10
거마로9길,36,36,36,36,36,36,36,36,36,36,36,36,0,36,36,36
거북골로,262,262,262,262,262,262,262,262,262,262,262,262,0,262,262,262
거북골로14길,83,83,83,83,83,83,83,83,83,83,83,83,0,83,83,83
거북골로18가길,42,42,42,42,42,42,42,42,42,42,42,42,1,42,42,42
겸재로,38,38,38,38,38,38,38,38,38,38,38,38,1,38,38,38
겸재로10길,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
겸재로18길,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
겸재로27길,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8
겸재로29길,24,24,24,24,24,24,24,24,24,24,24,24,0,24,24,24
겸재로30길,41,41,41,41,41,41,41,41,41,41,41,41,0,41,41,41
겸재로48길,14,14,14,14,14,14,14,14,14,14,14,14,0,14,14,14
겸재로4길,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6
겸재로7길,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
겸재로9길,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9
경교장길,72,72,72,72,72,72,72,72,72,72,72,72,2,72,72,72
경기대로,28,28,28,28,28,28,28,28,28,28,28,28,0,28,28,28
경기대로3길,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15
경기대로5길,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
경기대로7길,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
경기대로9길,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9
경동시장로,8,8,8,8,8,8,8,8,8,8,8,8,2,8,8,8
경서로1길,44,44,44,44,44,44,44,44,44,44,44,44,0,44,44,44
경인로,1566,1566,1566,1566,1566,1566,1566,1566,1566,1566,1566,1566,28,1566,1566,1566
경인로112길,53,53,53,53,53,53,53,53,53,53,53,53,2,53,53,53
경인로114가길,94,94,94,94,94,94,94,94,94,94,94,94,3,94,94,94
경인로114길,192,192,192,192,192,192,192,192,192,192,192,192,3,192,192,192
경인로11길,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
경인로15나길,88,88,88,88,88,88,88,88,88,88,88,88,0,88,88,88
경인로19가길,61,61,61,61,61,61,61,61,61,61,61,61,1,61,61,61
경인로20길,35,35,35,35,35,35,35,35,35,35,35,35,0,35,35,35
경인로20나길,57,57,57,57,57,57,57,57,57,57,57,57,0,57,57,57
경인로22길,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4
경인로2길,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37
경인로38길,42,42,42,42,42,42,42,42,42,42,42,42,0,42,42,42
경인로40길,107,107,107,107,107,107,107,107,107,107,107,107,2,107,107,107
경인로47가길,17,17,17,17,17,17,17,17,17,17,17,17,0,17,17,17
경인로47길,73,73,73,73,73,73,73,73,73,73,73,73,0,73,73,73
경인로47다길,212,212,212,212,212,212,212,212,212,212,212,212,6,212,212,212
경인로59길,18,18,18,18,18,18,18,18,18,18,18,18,0,18,18,18
경인로65길,133,133,133,133,133,133,133,133,133,133,133,133,3,133,133,133
경인로66길,63,63,63,63,63,63,63,63,63,63,63,63,1,63,63,63
경인로67길,21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21
